symbol,expiry,dte,strike,type,bid,ask,mid,delta,iv
AAPL,2025-11-15,9,95,call,10.50,10.60,10.55,0.40,0.15
AAPL,2025-11-15,9,100,call,7.20,7.30,7.25,0.30,0.14
AAPL,2025-11-15,9,105,call,4.80,4.90,4.85,0.20,0.13
AAPL,2025-11-15,9,110,call,3.10,3.20,3.15,0.15,0.13
AAPL,2025-11-15,9,115,call,1.90,2.00,1.95,0.10,0.13
AAPL,2025-11-15,9,120,call,1.10,1.20,1.15,0.08,0.13
AAPL,2025-11-15,9,125,call,0.60,0.70,0.65,0.05,0.13
TSLA,2025-11-20,5,180,call,15.00,15.10,15.05,0.50,0.20
TSLA,2025-11-20,5,185,call,11.50,11.60,11.55,0.35,0.19
TSLA,2025-11-20,5,190,call,8.50,8.60,8.55,0.30,0.18
TSLA,2025-11-20,5,195,call,6.00,6.10,6.05,0.25,0.17
TSLA,2025-11-20,5,200,call,4.00,4.10,4.05,0.20,0.17
TSLA,2025-11-20,5,205,call,2.50,2.60,2.55,0.15,0.16
TSLA,2025-11-20,5,210,call,1.50,1.60,1.55,0.10,0.16
TSLA,2025-11-20,5,215,call,0.90,1.00,0.95,0.08,0.16
TSLA,2025-11-20,5,220,call,0.50,0.60,0.55,0.05,0.16
